# topo=chain: 設計の選択ごと・娘 n 枚。値は不確かな角の最悪
plan | design | n | Zpk(20k-3M) Ω @f | worst corner | Zpk(100-20k) Ω @f | Z@200k Ω | Zmax(200k-1M) @f | Tpk(1k-3M) @f | T@200k | Tmax(200k-1M) @f
3 | +100µ ESR 0.3 / Rser 0.15 | 3 | 0.990 @79k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.048 @0k | 0.332 | 0.333 @211k | 4.15 @75k | 0.873 | 0.766 @211k
3 | +100µ ESR 0.3 / Rser 0.15 | 4 | 1.052 @63k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.098 @0k | 0.331 | 0.313 @211k | 4.63 @56k | 0.749 | 0.716 @211k
3 | +100µ ESR 0.3 / Rser 0.2 | 1 | 0.487 @158k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.998 @0k | 0.431 | 0.402 @211k | 1.56 @150k | 1.228 | 1.162 @211k
3 | +100µ ESR 0.3 / Rser 0.2 | 2 | 0.754 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 1.048 @0k | 0.349 | 0.324 @211k | 2.56 @100k | 1.227 | 1.118 @211k
3 | +100µ ESR 0.3 / Rser 0.2 | 3 | 0.906 @79k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.098 @0k | 0.308 | 0.305 @211k | 3.31 @75k | 0.767 | 0.673 @211k
3 | +100µ ESR 0.3 / Rser 0.2 | 4 | 0.986 @63k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.148 @0k | 0.318 | 0.303 @211k | 3.85 @56k | 0.612 | 0.587 @211k
3 | +100µ ESR 0.3 / Rser 0.33 | 1 | 0.522 @21k | L300n R0.05 lo srcA e201=0.3 k=1 | 1.128 @0k | 0.351 | 0.333 @211k | 1.09 @106k | 0.767 | 0.725 @211k
3 | +100µ ESR 0.3 / Rser 0.33 | 2 | 0.637 @100k | L300n R0.01 lo srcC e201=0.05 k=2 | 1.178 @0k | 0.326 | 0.307 @211k | 1.64 @94k | 0.766 | 0.712 @211k
3 | +100µ ESR 0.3 / Rser 0.33 | 3 | 0.793 @75k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.228 @0k | 0.293 | 0.280 @211k | 2.19 @71k | 0.573 | 0.509 @211k
3 | +100µ ESR 0.3 / Rser 0.33 | 4 | 0.894 @63k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.277 @0k | 0.297 | 0.284 @211k | 2.64 @56k | 0.418 | 0.400 @211k
